Tipo;Categoria / Grupo;Nome do Item / Sabor;Descrição;Preço (R$);Disponível;Grupos Vinculados;Foto URL
"PRODUTO";"Porções";"Fritas 250g";"";"17,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737556033441blob"
"PRODUTO";"Porções";"Frango Grelhado com Fritas";"Frango grelhado 400g, fritas 250g, farofa, vinagrete. Acompanha molho da casa";"59,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737854928658blob"
"PRODUTO";"Porções";"Frango Crocante";"Tiras de frango empanada na farinha panko. Acompanha molho";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735932230386blob"
"PRODUTO";"Porções";"Coração Acebolado";"Coração acebolado 250g com fritas 250g. Acompanha molho";"58,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737852644739blob"
"PRODUTO";"Porções";"Camarão Soltinho 400g";"";"79,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737742927710blob"
"PRODUTO";"Porções";"Camarão Alho e Óleo 400g";"Camarão Alho e Óleo 400g acompanha molho.";"75,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737854474322blob"
"PRODUTO";"Porções";"Calabresa com Fritas";"Calabresa 350g, fritas 250g. Acompanha molho da casa";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737854068798blob"
"PRODUTO";"Porções";"Calabresa Acebolada 400g";"400g de calabresa acebolada, acompanha molho.";"35,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737853904345blob"
"PRODUTO";"Bebidas";"Água com Gás";"";"5,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737840541980blob"
"PRODUTO";"Bebidas";"Água sem Gás";"";"5,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737840551729blob"
"PRODUTO";"Bebidas";"Cerveja Budweiser 330ml";"";"10,00";"Sim";"";"https://client-assets.anota.ai/produtos/66b65c7c19c2c800127a0b68/-1725020878245blob"
"PRODUTO";"Bebidas";"Coca cola 1,5 litros";"";"14,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1744813088658blob"
"PRODUTO";"Bebidas";"Coca Cola 2 Litros";"";"19,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1744813027508blob"
"PRODUTO";"Bebidas";"Coca Cola 350ml";"";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/671487de0d88160019730fc7/-1733846432018blob"
"PRODUTO";"Bebidas";"Coca Cola 600ml";"";"12,00";"Sim";"";"https://client-assets.anota.ai/produtos/66a38bae6c8ee10019640631/-1733772101578blob"
"PRODUTO";"Bebidas";"Coca Cola Zero 350ml";"";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/671487de0d88160019730fc7/-1733846432029blob"
"PRODUTO";"Bebidas";"Coca Zero 2 litros ";"";"19,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1744813008157blob"
"PRODUTO";"Bebidas";"Cerveja Corona 330ml";"";"12,00";"Sim";"";"https://client-assets.anota.ai/produtos/673f812029093a0019dc5c8c/-1734016990590blob"
"PRODUTO";"Bebidas";"Dose Red Label";"";"20,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1745870358081blob"
"PRODUTO";"Bebidas";"Energético Monster 473ml";"";"13,00";"Sim";"";"https://client-assets.anota.ai/produtos/66b65c7c19c2c800127a0b68/-1724960193544blob"
"PRODUTO";"Bebidas";"Fanta laranja 2 litros";"";"17,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1744813037896blob"
"PRODUTO";"Bebidas";"Fanta Laranja lata 350ml";"";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/66b65c7c19c2c800127a0b68/-1724960440222blob"
"PRODUTO";"Bebidas";"Fanta Uva lata 350ml";"";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/66b65c7c19c2c800127a0b68/-1724960440513blob"
"PRODUTO";"Bebidas";"Gatorade Tangerina";"";"9,00";"Sim";"";"https://client-assets.anota.ai/produtos/66b65c7c19c2c800127a0b68/-1724960515793blob"
"PRODUTO";"Bebidas";"Gatorede Laranja";"";"9,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1747412358750blob"
"PRODUTO";"Bebidas";"Gatorede Limão";"";"9,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1747412250635blob"
"PRODUTO";"Bebidas";"Guaraná 600";"";"10,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1744813270950blob"
"PRODUTO";"Bebidas";"Guarana Antartica 1,5 Litros";"";"14,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1744813049591blob"
