Grupo de Opções;Sabor / Adicional;Descrição;Preço (R$);Disponível
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"4. Brócolis";"Molho de tomate caseiro, mussarela, brócolis, tomate, alho frito e orégano.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"8. Bacon com abacaxi";"Molho caseiro, mussarela, bacon e abacaxi.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"2. Alhobresa";"Molho de tomate caseiro, mussarela, calabresa, alho e orégano. ";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"61. 6 Queijos com bacon";"Molho de tomate caseiro, mussarela, provolone, parmesão, gorgonzola, catupiry, cheddar e orégano. ";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"56. 4 Queijos";"Molho de tomate caseiro, mussrela, Parmesão, provolone, catupiry e orégano. ";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"PRESUNTO E QUEIJO (MODA ARGENTINA)";"Molho de tomate caseiro, mussarela, presunto e orégano.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"15. Canadense";"Molho de tomate caseiro, mussarela, lombo canadense, catupiry e orégano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"43. Filé com catupiry";"Molho de tomate caseiro, mussarela, tiras de carne e catupiry.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"27. Milho com catupiry";"Molho de tomate caseiro, mussarela, milho e catupiry.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"7. Bacon";"Molho de tomate caseiro, mussarela, bacon e orégano.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"58. 6 Queijos";"Molho de tomate caseiro, mussarela, provolone, parmesão, gorgonzola, catupiry, cheddar e orégano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"54. Strogonoff de carne";"Molho de tomate caseiro, mussarela, strogonoff de carne e batata palha.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"26. Marguerita";"Molho de tomate caseiro, mussarela, tomate, manjericão, azeitonas pretas e orégano.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"31. Portuguesa";"Molho de tomate caseiro, mussarela, presunto, queijo, ovo, tomate, cebola, pimentão, azeitonas verde e orégano.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"FUGAZZETA";"Molho de tomate caseiro, mussarela, cebola, azeitonas verdes e orégano.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"45. Filé aos 4 queijos";"Molho de tomate caseiro, mussarela, provolone, parmesão, catupiry e filé.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"55. Strogonoff de frango";"Molho de tomate caseiro, mussarela, strogonoff de frango e batata palha.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"59. 4 Queijos com bacon";"Molho de tomate caseiro, mussarela, provolone, parmesão, catupiry, bacon e orégano. ";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"37. Camarão alho e óleo";"Molho de tomate caseiro, mussarela, camarão ao alho e óleo e orégano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"50. Palmito";"Molho de tomate caseiro, mussarela, Palmito e orégano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"52. Rúcula com tomate seco";"Molho de tomate caseiro, mussarela, tomate seco, rúcula e orégano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"16. Carbonara";"Molho de tomate caseiro, mussarela, Bacon, ovos e creme de leite";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"25. Lombinho";"Molho de tomate caseiro, mussarela, lombo canadense, cebola e orégano.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"28. Milho e bacon";"Molho de tomate caseiro, mussarela, milho e bacon.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"LINGUIÇA BLUMENAU";"Molho de tomate caseiro, linguiça Blumenau, mussarela, catupiry e orégano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"18. Difiori";"Molho de tomate caseiro, mussarela, frango, bacon, tomate e creme de leite";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"38. Camarão aos 4 queijos";"Molho de tomate caseiro, mussarela, camarão, parmesão, provolone e catupiry.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"TOSCANA";"Molho de tomate caseiro, mussarela, salame, provolone, manjericão e oregano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"PRIMAVERA";"Palmito, ervilha e ovos de codorna.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"33. Veneza";"Molho de tomate caseiro, mussarela, lombo, bacon, ovos e orégano.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"ITALIAN ";"Molho de tomate caseiro, mussarela, salame, tomate, azeitonas pretas e orégano.   ";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"SPECIALE";" Molho de tomate caseiro, mussarela, anéis de cebola na manteiga, salsinha e orégano. ";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"60. 5 Queijos com bacon";"Molho de tomate caseiro, mussarela, parmesão, provolone, catupiry, cheddar, bacon e orégano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"14. Catulabresa";"Molho de tomate caseiro, mussarela, calabresa e catupiry.";"0,00";"Sim"
